%ID Station;Libelle Line;Libelle station;Longitude;Latitude;Commune nom;Commune code Insee
1;1;Porte Maillot;2,282583847;48,87816265;Paris 17ème;75117
2;1;Argentine;2,289435419;48,87566738;Paris 17ème;75117
3;1;Charles de Gaulle - Etoile;2,295811775;48,87499458;Paris 17ème;75117
4;1;George V;2,300759785;48,87203776;Paris 8ème;75108
5;1;Franklin D. Roosevelt;2,309488192;48,86872489;Paris 8ème;75108
6;1;Champs-Elysées - Clemenceau;2,314464501;48,86765629;Paris 8ème;75108
7;1;Concorde;2,322961446;48,86655799;Paris 8ème;75108
8;1;Tuileries;2,329678095;48,86447784;Paris 1er;75101
9;1;Palais Royal - Musée du Louvre;2,336454368;48,86222226;Paris 1er;75101
10;1;Louvre - Rivoli;2,340969623;48,86087121;Paris 1er;75101
11;1;Châtelet;2,348160991;48,85695346;Paris 4ème;75104
12;1;Hôtel de Ville;2,35206767;48,8573524;Paris 4ème;75104
13;1;Saint-Paul (Le Marais);2,360885256;48,85518742;Paris 4ème;75104
14;1;Bastille;2,368718961;48,85205429;Paris 12ème;75112
15;1;Gare de Lyon;2,373156594;48,84568321;Paris 12ème;75112
16;1;Reuilly - Diderot;2,38720107;48,84721293;Paris 12ème;75112
17;1;Nation;2,395843989;48,84808429;Paris 12ème;75112
18;1;Porte de Vincennes;2,410804997;48,84700773;Paris 12ème;75112
19;1;Château de Vincennes;2,440540095;48,84431751;Paris 12ème;75112
20;2;Porte Dauphine;2,277632718;48,87139679;Paris 16ème;75116
21;2;Victor Hugo;2,285828766;48,86992608;Paris 16ème;75116
22;2;Charles de Gaulle - Etoile;2,295811775;48,87499458;Paris 17ème;75117
23;2;Ternes;2,298113289;48,87822773;Paris 17ème;75117
24;2;Courcelles;2,303294362;48,87926525;Paris 17ème;75117
25;2;Monceau;2,309412967;48,88056877;Paris 17ème;75117
26;2;Villiers;2,315815093;48,88107318;Paris 8ème;75108
27;2;Rome;2,321359174;48,88234582;Paris 17ème;75117
28;2;Place de Clichy;2,327958328;48,88366909;Paris 18ème;75118
29;2;Blanche;2,332484375;48,88376635;Paris 9ème;75109
30;2;Pigalle;2,337211165;48,88202093;Paris 9ème;75109
31;2;Anvers;2,34415484;48,88286857;Paris 9ème;75109
32;2;Barbès - Rochechouart;2,350607079;48,88377609;Paris 10ème;75110
33;2;La Chapelle;2,360404169;48,88438641;Paris 10ème;75110
34;2;Stalingrad;2,365774371;48,88432055;Paris 19ème;75119
35;2;Jaurès;2,37143896;48,88302391;Paris 19ème;75119
36;2;Colonel Fabien;2,370467575;48,87764981;Paris 10ème;75110
37;2;Belleville;2,376735587;48,8722866;Paris 19ème;75119
38;2;Couronnes;2,380288983;48,86919334;Paris 11ème;75111
39;2;Ménilmontant;2,383430388;48,86639014;Paris 11ème;75111
40;2;Père Lachaise;2,387579891;48,86244984;Paris 11ème;75111
41;2;Philippe Auguste;2,390497597;48,85808943;Paris 11ème;75111
42;2;Alexandre Dumas;2,394712734;48,85624468;Paris 20ème;75120
43;2;Avron;2,398187557;48,85164854;Paris 20ème;75120
44;2;Nation;2,395843989;48,84808429;Paris 12ème;75112
45;3;Porte de Champerret;2,292112482;48,88565239;Paris 17ème;75117
46;3;Pereire;2,297683186;48,88484432;Paris 17ème;75117
47;3;Wagram;2,304673088;48,88384639;Paris 17ème;75117
48;3;Malesherbes;2,309487847;48,88284002;Paris 17ème;75117
49;3;Villiers;2,315815093;48,88107318;Paris 8ème;75108
50;3;Europe;2,32218592;48,87875316;Paris 8ème;75108
51;3;Saint-Lazare;2,325488391;48,87538132;Paris 8ème;75108
52;3;Havre-Caumartin;2,327651103;48,87366675;Paris 9ème;75109
53;3;Opéra;2,331047287;48,87143743;Paris 9ème;75109
54;3;Quatre Septembre;2,336318736;48,8696591;Paris 2ème;75102
55;3;Bourse;2,340665371;48,8687568;Paris 2ème;75102
56;3;Sentier;2,347553816;48,8673466;Paris 2ème;75102
57;3;Réaumur - Sébastopol;2,352050787;48,86638176;Paris 2ème;75102
58;3;Arts et Métiers;2,356508144;48,86529961;Paris 3ème;75103
59;3;Temple;2,361561235;48,86675663;Paris 3ème;75103
60;3;République;2,363302341;48,86751236;Paris 3ème;75103
61;3;Parmentier;2,37474775;48,86525239;Paris 11ème;75111
62;3;Rue Saint-Maur;2,380507756;48,8641177;Paris 11ème;75111
63;3;Père Lachaise;2,387579891;48,86244984;Paris 11ème;75111
64;3;Gambetta;2,398537306;48,86503256;Paris 20ème;75120
65;3;Porte de Bagnolet;2,408754221;48,86453937;Paris 20ème;75120
66;3bis;Porte des Lilas;2,407061973;48,8765686;Paris 20ème;75120
67;3bis;Saint-Fargeau;2,404498183;48,87184337;Paris 20ème;75120
68;3bis;Pelleport;2,401496792;48,86846489;Paris 20ème;75120
69;3bis;Gambetta;2,398537306;48,86503256;Paris 20ème;75120
70;4;Porte de Clignancourt;2,344624099;48,89752563;Paris 18ème;75118
71;4;Simplon;2,347596055;48,89412444;Paris 18ème;75118
72;4;Marcadet - Poissonniers;2,349681542;48,89128044;Paris 18ème;75118
73;4;Château Rouge;2,349365808;48,88707888;Paris 18ème;75118
74;4;Barbès - Rochechouart;2,350607079;48,88377609;Paris 10ème;75110
75;4;Gare du Nord;2,356808788;48,87959171;Paris 10ème;75110
76;4;Gare de l'Est;2,358064594;48,87616299;Paris 10ème;75110
77;4;Château d'Eau;2,356051741;48,87244692;Paris 10ème;75110
78;4;Strasbourg - Saint-Denis;2,354491617;48,86962358;Paris 10ème;75110
79;4;Réaumur - Sébastopol;2,352050787;48,86638176;Paris 2ème;75102
80;4;Etienne Marcel;2,348976197;48,86370301;Paris 1er;75101
81;4;Les Halles;2,346127325;48,86250484;Paris 1er;75101
82;4;Châtelet;2,348160991;48,85695346;Paris 4ème;75104
83;4;Cité;2,347232235;48,85493385;Paris 4ème;75104
84;4;Saint-Michel;2,343991799;48,85359408;Paris 6ème;75106
85;4;Odéon;2,340692291;48,85202455;Paris 6ème;75106
86;4;Saint-Germain-des-Prés;2,333947811;48,85357456;Paris 6ème;75106
87;4;Saint-Sulpice;2,330611953;48,85120863;Paris 6ème;75106
88;4;Saint-Placide;2,327054815;48,84700665;Paris 6ème;75106
89;4;Montparnasse Bienvenue;2,323989185;48,84382361;Paris 15ème;75115
90;4;Vavin;2,328862854;48,84205232;Paris 14ème;75114
91;4;Raspail;2,330466994;48,83915636;Paris 14ème;75114
92;4;Denfert-Rochereau;2,332018835;48,83394869;Paris 14ème;75114
93;4;Mouton-Duvernet;2,32988764;48,83133758;Paris 14ème;75114
94;4;Alésia;2,327093235;48,82820106;Paris 14ème;75114
95;4;Porte d'Orléans;2,325493265;48,82341635;Paris 14ème;75114
96;5;Porte de Pantin;2,392122972;48,88845921;Paris 19ème;75119
97;5;Ourcq;2,386652017;48,88691595;Paris 19ème;75119
98;5;Laumière;2,379390989;48,88513385;Paris 19ème;75119
99;5;Jaurès;2,37143896;48,88302391;Paris 19ème;75119
100;5;Stalingrad;2,365774371;48,88432055;Paris 19ème;75119
101;5;Gare du Nord;2,356808788;48,87959171;Paris 10ème;75110
102;5;Gare de l'Est;2,358064594;48,87616299;Paris 10ème;75110
103;5;Jacques Bonsergent;2,361023902;48,87062093;Paris 10ème;75110
104;5;République;2,363302341;48,86751236;Paris 3ème;75103
105;5;Oberkampf;2,368155845;48,8647771;Paris 11ème;75111
106;5;Richard-Lenoir;2,37181363;48,85987694;Paris 11ème;75111
107;5;Bréguet-Sabin;2,370194669;48,85624405;Paris 11ème;75111
108;5;Bastille;2,368718961;48,85205429;Paris 12ème;75112
109;5;Quai de la Rapée;2,365884651;48,84642732;Paris 12ème;75112
110;5;Gare d'Austerlitz;2,364177311;48,84340541;Paris 5ème;75105
111;5;Saint-Marcel;2,36072186;48,83851245;Paris 13ème;75113
112;5;Campo-Formio;2,358741957;48,83554293;Paris 13ème;75113
113;5;Place d'Italie;2,355501591;48,83096571;Paris 13ème;75113
114;6;Charles de Gaulle - Etoile;2,295811775;48,87499458;Paris 17ème;75117
115;6;Kléber;2,293146137;48,87148941;Paris 16ème;75116
116;6;Boissière;2,290032838;48,86684834;Paris 16ème;75116
117;6;Trocadéro;2,287492797;48,86348766;Paris 16ème;75116
118;6;Passy;2,285839419;48,85751509;Paris 16ème;75116
119;6;Bir-Hakeim;2,289400738;48,85392537;Paris 15ème;75115
120;6;Dupleix;2,293663727;48,85041162;Paris 15ème;75115
121;6;La Motte-Picquet - Grenelle;2,298525726;48,8496308;Paris 15ème;75115
122;6;Cambronne;2,302941728;48,84754311;Paris 15ème;75115
123;6;Sèvres-Lecourbe;2,30952961;48,84564768;Paris 15ème;75115
124;6;Pasteur;2,31291468;48,84252839;Paris 15ème;75115
125;6;Montparnasse Bienvenue;2,323989185;48,84382361;Paris 15ème;75115
126;6;Edgar Quinet;2,325286578;48,8409035;Paris 14ème;75114
127;6;Raspail;2,330466994;48,83915636;Paris 14ème;75114
128;6;Denfert-Rochereau;2,332018835;48,83394869;Paris 14ème;75114
129;6;Saint-Jacques;2,337154371;48,83291601;Paris 14ème;75114
130;6;Glacière;2,343438237;48,83111595;Paris 13ème;75113
131;6;Corvisart;2,350611226;48,82986001;Paris 13ème;75113
132;6;Place d'Italie;2,355501591;48,83096571;Paris 13ème;75113
133;6;Nationale;2,362804172;48,83323528;Paris 13ème;75113
134;6;Chevaleret;2,368081283;48,83496308;Paris 13ème;75113
135;6;Quai de la Gare;2,372766249;48,83707427;Paris 13ème;75113
136;6;Bercy;2,37946307;48,84017603;Paris 12ème;75112
137;6;Dugommier;2,38959977;48,83903653;Paris 12ème;75112
138;6;Daumesnil;2,396148628;48,83943401;Paris 12ème;75112
139;6;Bel-Air;2,400867132;48,84142733;Paris 12ème;75112
140;6;Picpus;2,401274539;48,84510325;Paris 12ème;75112
141;6;Nation;2,395843989;48,84808429;Paris 12ème;75112
142;7;Porte de la Villette;2,385869033;48,89780269;Paris 19ème;75119
143;7;Corentin Cariou;2,382291557;48,89467266;Paris 19ème;75119
144;7;Crimée;2,376935737;48,89088576;Paris 19ème;75119
145;7;Riquet;2,373669465;48,88815726;Paris 19ème;75119
146;7;Stalingrad;2,365774371;48,88432055;Paris 19ème;75119
147;7;Louis Blanc;2,364424862;48,88120621;Paris 10ème;75110
148;7;Château Landon;2,362017936;48,87844145;Paris 10ème;75110
149;7;Gare de l'Est;2,358064594;48,87616299;Paris 10ème;75110
150;7;Poissonnière;2,348739751;48,87716485;Paris 9ème;75109
151;7;Cadet;2,34444631;48,87596328;Paris 9ème;75109
